Year,Make,Model,Used/New,Price,ConsumerRating,ConsumerReviews,SellerType,SellerName,SellerRating,SellerReviews,StreetName,State,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,ExteriorColor,InteriorColor,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,VIN,Stock#,Mileage
2021,Volkswagen,Atlas Cross Sport 3.6L V6 SEL R-Line,Volkswagen Certified,"$46,332 ",4.5,10,Dealer,Larry H. Miller Volkswagen Avondale,4.5,710,10205 W. Papago Freeway Avondale,AZ,85323,Good,4.7,4.5,4.4,4.4,4.5,4.4,Pure Gray,Titan Black,Front-wheel Drive,18,23,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1V2CE2CA3MC223067,N0762A,10064
2005,Acura,MDX Touring,Used,"$6,495 ",4.7,54,Dealer,JP Motors,4.3,7,7411 Centreville Rd Manassas,VA,20111,Good,4.8,4.5,4.6,4.8,4.6,4.9,Black,Ebony,Four-wheel Drive,17,23,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI SOHC,2HNYD188X5H549256,2P771090,174916
2007,BMW,750 Li,Used,"$7,995 ",4.4,37,Dealer,Quality Motorcars,3.7,44,1406 Jackson St Richmond,TX,77469,NA,4.6,4.5,4.6,4,4.6,4,Silver,Gray,Rear-wheel Drive,17,23,Gasoline,Automatic 6-Speed,8 Cylinder Engine,WBAHN83597DT73242,7DT73242,99320
2019,Chevrolet,Silverado 1500 High Country,Used,"$46,990 ",4.3,245,Dealer,Ford of Kendall,4.4,227,15551 South Dixie Hwy Miami,FL,33157,Good,4.4,4.2,4.3,4,4.6,4.2,Black,Jet Black,Rear-wheel Drive,17,23,Gasoline,8-Speed Automatic,5.3L V8 16V GDI OHV,3GCPWFED5KG195832,KG195832,44481
2017,Ford,F-150 XL,Used,"$21,995 ",4.8,568,Dealer,Bristol Auto Mall,4.3,248,7402 Bristol Pike Levittown,PA,19057,Great,4.9,4.8,4.8,4.6,4.8,4.8,White,Gray,Four-wheel Drive,17,23,E85 Flex Fuel,6-Speed Automatic,3.5L V6 24V MPFI DOHC Flexible Fuel,1FTEX1E80HFB23621,8797F,87552
2015,Ford,Explorer XLT,Used,"$23,988 ",4.6,182,Dealer,AUTO DESTINATION,2.3,6,6408 River Road East Puyallup,WA,98371,Fair,4.6,4.6,4.5,4.4,4.6,4.5,Blue,–,Four-wheel Drive,17,23,E85 Flex Fuel,6-Speed Automatic,3.5L V6 24V MPFI DOHC Flexible Fuel,1FM5K8D85FGC30210,2098,85585
2015,Ford,Explorer Limited,Used,"$23,989 ",4.6,182,Dealer,Coronet of Peru,4.5,47,3705 Frontage Rd Peru,IL,61354,Fair,4.6,4.6,4.5,4.4,4.6,4.5,White Platinum Tri-Coat Metallic,Charcoal Black,Four-wheel Drive,17,23,E85 Flex Fuel,6-Speed Automatic,3.5L V6 24V MPFI DOHC Flexible Fuel,1FM5K8F81FGC47115,J82093-1,87752
2018,Ford,Expedition Max Limited,Used,"$33,990 ",4.9,37,Dealer,Murray Ford Superstore,4.8,1138,13447 US Highway 301 S Starke,FL,32091,Great,5,5,4.8,4.6,4.9,5,Shadow Black,–,Rear-wheel Drive,17,23,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,1FMJK1KT4JEA10803,JEA10803TT,109862
2016,Ford,F-150 XLT,Ford Certified,"$34,685 ",4.6,391,Dealer,C. Harper Ford Kia Honda,4.8,119,100 Harper Dr Belle Vernon,PA,15012,Fair,4.7,4.6,4.7,4.4,4.7,4.6,Ruby Red Metallic Tinted Clearcoat,–,Four-wheel Drive,17,23,E85 Flex Fuel,6-Speed Automatic,3.5L V6 24V MPFI DOHC Flexible Fuel,1FTEW1E87GFB67374,F56291A,47594
2019,Ford,Expedition Max Limited,Used,"$42,821 ",4.9,23,Dealer,Thompson Buick Cadillac GMC,4.4,101,2600 Wake Forest Rd Raleigh,NC,27609,Great,5,4.8,5,4.6,5,5,Black Metallic,Ebony,Rear-wheel Drive,17,23,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,1FMJK1KT3KEA28033,22463B,81068
2020,Ford,F-150 King Ranch,Used,"$48,549 ",4.8,219,Dealer,McDonough Nissan,4.3,1293,1775 Avalon Pkwy McDonough,GA,30253,Good,4.9,4.8,4.8,4.7,4.8,4.8,Oxford White,Java,Rear-wheel Drive,17,23,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FTEW1C47LFA96140,PN6861,59817
2020,Ford,Expedition Max Limited,Used,"$49,499 ",4.5,15,Dealer,Trucks Only!,4.7,80,837 E. Apache Trail Apache Junction,AZ,85210,Good,4.7,4.7,4.5,4.3,4.7,4.3,Black,–,Rear-wheel Drive,17,23,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,1FMJK1KT7LEA20583,2-0884,59742
2020,Ford,Expedition XLT,Used,"$52,481 ",4.9,27,Dealer,Planet Lincoln Dallas Love Field,4.8,247,7767 Lemmon Ave Dallas,TX,75209,Great,5,4.9,4.9,4.6,4.9,4.8,Red,Ebony,Rear-wheel Drive,17,23,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,1FMJU1HT6LEA33326,N0349A,16455
2018,Hyundai,Santa Fe Limited Ultimate,Used,"$26,642 ",4.7,75,Dealer,Hiley Acura,3.7,61,3125 NE Loop 820 Fort Worth,TX,76137,Fair,4.7,4.7,4.6,4.6,4.8,4.8,Circuit Silver,Gray,Front-wheel Drive,17,23,Gasoline,6-Speed Automatic,3.3L V6 24V GDI DOHC,KM8SR4HF8JU293988,A5067B,98922
2018,Jeep,Wrangler Unlimited Sport,Used,"$34,689 ",4.6,208,Dealer,Florida Fine Cars Miami,4.9,3818,21151 NW 2nd Ave Miami,FL,33169,Good,4.6,4.7,4.7,4.3,4.9,4.6,Granite Crystal Clearcoat Metallic,Black,Four-wheel Drive,17,23,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4HJXDG0JW156165,125687,35380
2018,Jeep,Wrangler Unlimited Sahara,Used,"$39,984 ",4.6,208,Dealer,AutoNation Ford Sanford,4.5,1057,4911 Wayside Dr Sanford,FL,32771,Good,4.6,4.7,4.7,4.3,4.9,4.6,Bright White Clearcoat,–,Four-wheel Drive,17,23,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1C4HJXEN9JW215940,JW215940,60208
